Samp,StructID_noflag,SampType,Pop,1_in_het_introgress,1_h_introgress,2_in_het_introgress,2_h_introgress,3_in_het_introgress,3_h_introgress,class_nh_50,FLB_LMB_stru,ALB_stru,REB_stru,CHB_stru,SHB_stru,Newhyb Run1?,Newhybs1_assign,Newhyb Run2?,Newhybs2_assign,Newhyb Run3?,Newhybs3_assign,No Newhyb?
FWC_FLB_1,LMBFLB,refLMBFLB,,,,,,,,,0.9878,0.0052,0.002,0.003,0.002,,,,,,,
FWC_FLB_2,LMBFLB,refLMBFLB,,,,,,,,,0.9957,0.001,0.001,0.0013,0.001,,,,,,,
FWC_FLB_3,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.002,0.001,0.002,0.002,,,,,,,
FWC_FLB_4,LMBFLB,refLMBFLB,,,,,,,,,0.9818,0.0102,0.001,0.002,0.005,,,,,,,
FWC_FLB_5,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.002,0.001,0.001,,,,,,,
FWC_FLB_6,LMBFLB,refLMBFLB,,,,,,,,,0.9949,0.0021,0.001,0.001,0.001,,,,,,,
FWC_FLB_7,LMBFLB,refLMBFLB,,,,,,,,,0.9919,0.002,0.002,0.0021,0.002,,,,,,,
FWC_FLB_8,LMBFLB,refLMBFLB,,,,,,,,,0.99,0.003,0.002,0.001,0.004,,,,,,,
FWC_FLB_9,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.001,0.001,0.002,,,,,,,
FWC_FLB_10,LMBFLB,refLMBFLB,,,,,,,,,0.9731,0.002,0.0021,0.004,0.0188,,,,,,,
FWC_FLB_11,LMBFLB,refLMBFLB,,,,,,,,,0.992,0.002,0.001,0.002,0.003,,,,,,,
FWC_FLB_12,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_FLB_13,LMBFLB,refLMBFLB,,,,,,,,,0.9842,0.008,0.002,0.0028,0.003,,,,,,,
FWC_FLB_14,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.003,0.001,0.001,0.002,,,,,,,
FWC_FLB_15,LMBFLB,refLMBFLB,,,,,,,,,0.9914,0.004,0.001,0.0016,0.002,,,,,,,
FWC_FLB_16,LMBFLB,refLMBFLB,,,,,,,,,0.9864,0.0069,0.0027,0.002,0.002,,,,,,,
FWC_FLB_17,LMBFLB,refLMBFLB,,,,,,,,,0.9949,0.0011,0.001,0.001,0.002,,,,,,,
FWC_FLB_18,LMBFLB,refLMBFLB,,,,,,,,,0.9939,0.002,0.0011,0.001,0.002,,,,,,,
FWC_FLB_19,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.001,0.002,0.001,,,,,,,
FWC_FLB_20,LMBFLB,refLMBFLB,,,,,,,,,0.9882,0.0051,0.002,0.002,0.0027,,,,,,,
FWC_FLB_21,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.002,0.001,0.001,0.001,,,,,,,
FWC_FLB_22,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.001,0.002,0.001,,,,,,,
FWC_FLB_23,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_FLB_24,LMBFLB,refLMBFLB,,,,,,,,,0.991,0.004,0.002,0.002,0.001,,,,,,,
FWC_FLB_25,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.002,0.001,0.003,0.001,,,,,,,
FWC_FLB_26,LMBFLB,refLMBFLB,,,,,,,,,0.9909,0.002,0.0021,0.002,0.003,,,,,,,
FWC_FLB_27,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_FLB_28,LMBFLB,refLMBFLB,,,,,,,,,0.99,0.004,0.002,0.002,0.002,,,,,,,
FWC_FLB_29,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_FLB_30,LMBFLB,refLMBFLB,,,,,,,,,0.9681,0.012,0.0061,0.0088,0.005,,,,,,,
FWC_FLB_31,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.001,0.002,0.001,,,,,,,
FWC_FLB_32,LMBFLB,refLMBFLB,,,,,,,,,0.9904,0.002,0.002,0.0036,0.002,,,,,,,
FWC_FLB_33,LMBFLB,refLMBFLB,,,,,,,,,0.9904,0.0046,0.002,0.002,0.001,,,,,,,
FWC_FLB_34,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.001,0.002,0.002,0.002,,,,,,,
FWC_FLB_35,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.002,0.001,0.001,,,,,,,
FWC_FLB_36,LMBFLB,refLMBFLB,,,,,,,,,0.9933,0.002,0.002,0.0017,0.001,,,,,,,
FWC_FLB_37,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.002,0.001,0.001,0.003,,,,,,,
FWC_FLB_38,LMBFLB,refLMBFLB,,,,,,,,,0.9927,0.0013,0.001,0.003,0.002,,,,,,,
FWC_FLB_39,LMBFLB,refLMBFLB,,,,,,,,,0.9798,0.006,0.005,0.004,0.0052,,,,,,,
FWC_FLB_40,LMBFLB,refLMBFLB,,,,,,,,,0.9584,0.0098,0.0088,0.017,0.006,,,,,,,
FWC_LMB_1,LMBFLB,refLMBFLB,,,,,,,,,0.9954,0.0016,0.001,0.001,0.001,,,,,,,
FWC_LMB_2,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.001,0.001,0.002,,,,,,,
FWC_LMB_3,LMBFLB,refLMBFLB,,,,,,,,,0.9863,0.003,0.0028,0.003,0.0049,,,,,,,
FWC_LMB_4,LMBFLB,refLMBFLB,,,,,,,,,0.9911,0.001,0.002,0.002,0.0039,,,,,,,
FWC_LMB_5,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.001,0.001,0.002,,,,,,,
FWC_LMB_6,LMBFLB,refLMBFLB,,,,,,,,,0.9939,0.002,0.0011,0.001,0.002,,,,,,,
FWC_LMB_7,LMBFLB,refLMBFLB,,,,,,,,,0.991,0.003,0.001,0.003,0.002,,,,,,,
FWC_LMB_8,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.002,0.001,0.002,0.002,,,,,,,
FWC_LMB_9,LMBFLB,refLMBFLB,,,,,,,,,0.993,0.002,0.001,0.002,0.002,,,,,,,
FWC_LMB_10,LMBFLB,refLMBFLB,,,,,,,,,0.988,0.003,0.002,0.003,0.004,,,,,,,
FWC_LMB_11,LMBFLB,refLMBFLB,,,,,,,,,0.9948,0.001,0.001,0.0012,0.002,,,,,,,
FWC_LMB_12,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.001,0.002,0.001,,,,,,,
FWC_LMB_13,LMBFLB,refLMBFLB,,,,,,,,,0.9935,0.002,0.001,0.0015,0.002,,,,,,,
FWC_LMB_14,LMBFLB,refLMBFLB,,,,,,,,,0.994,0.002,0.002,0.001,0.001,,,,,,,
FWC_LMB_15,LMBFLB,refLMBFLB,,,,,,,,,0.9929,0.001,0.001,0.0031,0.002,,,,,,,
FWC_LMB_16,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_LMB_17,LMBFLB,refLMBFLB,,,,,,,,,0.992,0.002,0.001,0.002,0.003,,,,,,,
FWC_LMB_18,LMBFLB,refLMBFLB,,,,,,,,,0.995,0.001,0.001,0.002,0.001,,,,,,,
FWC_LMB_19,LMBFLB,refLMBFLB,,,,,,,,,0.9801,0.004,0.008,0.0039,0.004,,,,,,,
FWC_LMB_20,LMBFLB,refLMBFLB,,,,,,,,,0.9865,0.004,0.004,0.0029,0.0026,,,,,,,
FWC_LMB_21,LMBFLB,refLMBFLB,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,
FWC_LMB_22,LMBFLB,refLMBFLB,,,,,,,,,0.9559,0.0331,0.002,0.003,0.006,,,,,,,
FWC_ALB_1,ALB,refALB,,,,,,,,,0.001,0.991,0.002,0.003,0.003,,,,,,,
FWC_ALB_2,ALB,refALB,,,,,,,,,0.001,0.9774,0.002,0.004,0.0156,,,,,,,
