Samp,StructID_noflag,SampType,Idnum,Pop,1_in_het_introgress,1_h_introgress,2_in_het_introgress,2_h_introgress,3_in_het_introgress,3_h_introgress,class_nh_50,FLB_LMB_stru,ALB_stru,REB_stru,CHB_stru,SHB_stru,Newhyb Run1?,Newhybs1_assign,Newhyb Run2?,Newhybs2_assign,Newhyb Run3?,Newhybs3_assign,No Newhyb?,MSA_05,MSA_06,MSA_08,MSA_09,MSA_10,MSA_12,MSA_13,MSA_17,MSA_22,MSA_24,MSA_25,MSA_27,MSA_28,MSA_29,MSA_31,MSA_32,,,,,,,,,,,,,,,,
FWC_FLB_1,LMBFLB,refLMBFLB,,,,,,,,,,0.9878,0.0052,0.002,0.003,0.002,,,,,,,,120,130,100,100,116,116,113,129,122,122,180,180,188,188,85,91,171,183,112,116,199,201,120,148,180,192,138,140,236,236,289,301
FWC_FLB_2,LMBFLB,refLMBFLB,,,,,,,,,,0.9957,0.001,0.001,0.0013,0.001,,,,,,,,128,158,100,100,116,118,127,129,128,128,180,180,186,186,87,93,161,169,112,112,199,199,128,146,192,194,150,152,236,236,261,295
FWC_FLB_3,LMBFLB,refLMBFLB,,,,,,,,,,0.993,0.002,0.001,0.002,0.002,,,,,,,,120,146,102,102,116,118,117,129,124,128,180,180,188,188,85,87,169,171,112,112,199,201,130,130,180,196,140,146,236,236,285,285
FWC_FLB_4,LMBFLB,refLMBFLB,,,,,,,,,,0.9818,0.0102,0.001,0.002,0.005,,,,,,,,120,120,100,106,118,118,119,127,124,134,180,180,186,186,89,95,159,167,112,112,199,199,128,150,180,188,138,150,-9,-9,285,295
FWC_FLB_5,LMBFLB,refLMBFLB,,,,,,,,,,0.994,0.002,0.002,0.001,0.001,,,,,,,,120,130,100,102,118,120,127,129,124,128,180,184,188,188,85,85,169,187,112,112,199,201,146,156,192,194,144,146,236,236,261,291
FWC_FLB_6,LMBFLB,refLMBFLB,,,,,,,,,,0.9949,0.0021,0.001,0.001,0.001,,,,,,,,120,134,100,102,118,118,113,129,124,128,180,180,188,188,85,87,159,171,112,112,199,199,120,128,180,194,146,148,236,236,285,293
FWC_FLB_7,LMBFLB,refLMBFLB,,,,,,,,,,0.9919,0.002,0.002,0.0021,0.002,,,,,,,,120,134,100,102,118,120,119,127,124,128,180,180,188,188,85,95,163,197,114,116,199,199,128,156,188,194,140,144,236,236,285,289
FWC_FLB_8,LMBFLB,refLMBFLB,,,,,,,,,,0.99,0.003,0.002,0.001,0.004,,,,,,,,120,138,100,100,118,118,119,129,126,134,170,180,186,186,87,95,159,183,112,114,199,199,148,156,192,194,140,146,236,236,287,289
FWC_FLB_9,LMBFLB,refLMBFLB,,,,,,,,,,0.994,0.002,0.001,0.001,0.002,,,,,,,,120,128,102,102,118,120,119,129,124,134,180,180,-9,-9,85,89,159,183,112,112,199,201,120,136,194,198,142,152,236,236,281,285
FWC_FLB_10,LMBFLB,refLMBFLB,,,,,,,,,,0.9731,0.002,0.0021,0.004,0.0188,,,,,,,,128,144,100,102,118,118,127,127,128,134,180,180,188,188,93,95,167,183,112,114,199,199,120,158,188,196,146,146,236,236,287,289
FWC_FLB_11,LMBFLB,refLMBFLB,,,,,,,,,,0.992,0.002,0.001,0.002,0.003,,,,,,,,128,148,100,102,118,118,117,129,124,132,180,180,186,188,87,95,171,171,112,116,199,199,126,148,188,188,144,146,236,236,287,299
FWC_FLB_12,LMBFLB,refLMBFLB,,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,,120,120,100,102,118,118,127,127,124,128,170,180,186,186,89,95,161,161,112,114,199,199,124,152,190,192,120,146,236,236,279,291
FWC_FLB_13,LMBFLB,refLMBFLB,,,,,,,,,,0.9842,0.008,0.002,0.0028,0.003,,,,,,,,130,156,100,108,120,120,127,129,128,132,170,180,188,188,87,87,171,183,112,116,199,199,120,126,188,194,148,152,236,236,287,307
FWC_FLB_14,LMBFLB,refLMBFLB,,,,,,,,,,0.993,0.003,0.001,0.001,0.002,,,,,,,,128,130,100,102,118,118,117,129,128,132,170,180,188,188,87,87,161,197,112,116,199,199,120,156,190,190,146,150,236,236,285,285
FWC_FLB_15,LMBFLB,refLMBFLB,,,,,,,,,,0.9914,0.004,0.001,0.0016,0.002,,,,,,,,120,120,102,102,118,120,129,129,128,134,180,180,186,186,85,95,159,159,114,114,199,201,120,128,188,192,146,146,236,236,291,293
FWC_FLB_16,LMBFLB,refLMBFLB,,,,,,,,,,0.9864,0.0069,0.0027,0.002,0.002,,,,,,,,120,138,100,104,118,120,127,129,128,134,180,180,188,188,85,93,161,161,114,116,199,199,120,148,180,192,138,148,236,236,279,295
FWC_FLB_17,LMBFLB,refLMBFLB,,,,,,,,,,0.9949,0.0011,0.001,0.001,0.002,,,,,,,,120,120,102,102,120,120,127,129,124,134,180,180,186,186,85,91,173,183,112,112,199,199,126,128,192,194,138,142,236,236,285,291
FWC_FLB_18,LMBFLB,refLMBFLB,,,,,,,,,,0.9939,0.002,0.0011,0.001,0.002,,,,,,,,128,134,102,102,120,120,117,129,124,128,170,180,186,186,87,89,161,171,112,114,199,201,128,158,180,188,138,144,236,236,285,305
FWC_FLB_19,LMBFLB,refLMBFLB,,,,,,,,,,0.994,0.002,0.001,0.002,0.001,,,,,,,,120,130,100,102,120,120,117,119,124,128,170,180,-9,-9,87,87,161,169,112,116,199,199,136,136,190,190,152,162,236,236,279,283
FWC_FLB_20,LMBFLB,refLMBFLB,,,,,,,,,,0.9882,0.0051,0.002,0.002,0.0027,,,,,,,,128,128,102,104,-9,-9,127,127,128,128,180,180,186,188,91,109,173,179,114,114,199,201,136,136,188,192,138,138,236,236,281,295
FWC_FLB_21,LMBFLB,refLMBFLB,,,,,,,,,,0.995,0.002,0.001,0.001,0.001,,,,,,,,120,120,100,106,116,116,129,129,124,128,180,180,186,186,87,95,171,175,112,112,199,199,106,124,192,192,136,136,236,236,291,291
FWC_FLB_22,LMBFLB,refLMBFLB,,,,,,,,,,0.994,0.002,0.001,0.002,0.001,,,,,,,,120,120,100,102,-9,-9,119,119,128,128,180,180,186,186,87,95,161,171,112,116,199,201,120,150,188,192,142,144,236,236,283,297
FWC_FLB_23,LMBFLB,refLMBFLB,,,,,,,,,,0.996,0.001,0.001,0.001,0.001,,,,,,,,120,120,100,100,118,118,117,129,120,128,170,180,186,186,87,101,173,183,112,112,201,201,124,130,188,192,142,150,236,236,261,291
