Samp,NEO,SMB,F1,F2,BCNEO,BCSMB,NH_Class_50,NH_Class_75,NH_Class_90
1_1_TNKR-01,0,0.98547,0,0.0041,0,0.01043,SMB,SMB,SMB
2_1_TNKR-02,0,0.97005,0,0.00588,0,0.02408,SMB,SMB,SMB
3_1_TNKR-03,0,0.93794,0,0.00944,0,0.05262,SMB,SMB,SMB
4_1_TNKR-04,0,0.55211,0.00221,0.1237,0.00056,0.32141,SMB,,
5_1_TNKR-05,0,0.00121,0,0.35647,0,0.64231,BCSMB,,
6_1_TNKR-06,0,0.9975,0,0.00016,0,0.00234,SMB,SMB,SMB
7_1_TNKR-07,0,0.86786,0,0.05,0,0.08214,SMB,SMB,
8_1_TNKR-08,0,0.99396,0,0.00069,0,0.00535,SMB,SMB,SMB
9_1_TNKR-09,0,0.99258,0,0.00104,0,0.00639,SMB,SMB,SMB
10_1_TNKR-10,0,0.89534,0,0.02846,0,0.0762,SMB,SMB,
11_1_TNKR-11,0,0.99476,0,0.00078,0,0.00445,SMB,SMB,SMB
12_1_TNKR-12,0,0.99298,0,0.00051,0,0.00651,SMB,SMB,SMB
13_1_TNKR-13,0,0.95655,0,0.00496,0,0.03849,SMB,SMB,SMB
14_1_TNKR-14,0,0.00164,0.00002,0.50376,0.00002,0.49457,F2,,
16_1_TNKR-16,0,0.91792,0,0.03714,0,0.04494,SMB,SMB,SMB
17_1_TNKR-17,0,0.99006,0,0.00185,0,0.00809,SMB,SMB,SMB
18_1_TNKR-18,0,0.99546,0,0.0006,0,0.00394,SMB,SMB,SMB
19_1_TNKR-19,0,0.99754,0,0.00018,0,0.00227,SMB,SMB,SMB
20_1_TNKR-20,0,0.95703,0,0.01817,0,0.02481,SMB,SMB,SMB
21_1_TNKR-21,0,0.85937,0.00025,0.04877,0.00011,0.0915,SMB,SMB,
22_1_TNKR-22,0,0.99713,0,0.0002,0,0.00267,SMB,SMB,SMB
23_1_TNKR-23,0,0.99072,0,0.00195,0,0.00733,SMB,SMB,SMB
24_1_TNKR-24,0,0.98254,0,0.00448,0,0.01298,SMB,SMB,SMB
25_1_TNKR-25,0,0.99655,0,0.00027,0,0.00318,SMB,SMB,SMB
26_1_TNKR-26,0,0.88711,0.00009,0.06529,0.00038,0.04713,SMB,SMB,
27_1_TNKR-27,0,0.40357,0,0.11245,0,0.48398,,,
28_1_TNKR-28,0,0.99459,0,0.00059,0,0.00482,SMB,SMB,SMB
29_1_TNKR-29,0,0.99542,0,0.00045,0,0.00413,SMB,SMB,SMB
30_1_TNKR-30,0,0.99612,0,0.00035,0,0.00354,SMB,SMB,SMB
31_1_TNKR-31,0,0.33964,0,0.62057,0.00023,0.03955,F2,,
32_1_TNKR-32,0,0.00002,0.00006,0.47377,0.00002,0.52614,BCSMB,,
33_2_GLVR_004,0.00001,0,0.01927,0.20443,0.7725,0.00378,BCNEO,BCNEO,
34_2_GLVR_007,0.08604,0,0.003,0.39008,0.51678,0.00411,BCNEO,,
35_2_GLVR_009,0,0.00016,0.00501,0.73325,0.00712,0.25446,F2,,
36_2_GLVR_010,0.03311,0,0.00011,0.23554,0.73121,0.00004,BCNEO,,
37_2_GLVR_017,0.00164,0,0.04287,0.18516,0.76446,0.00587,BCNEO,BCNEO,
38_2_GLVR_018,0,0.99826,0,0.00009,0,0.00164,SMB,SMB,SMB
39_2_SPRMO_023,0.09298,0,0.04768,0.18506,0.66708,0.0072,BCNEO,,
40_2_SPRMO_024,0,0,0.00002,0.62215,0.37782,0.00002,F2,,
41_2_SPRMO_025,0,0,0.00005,0.93511,0.0644,0.00044,F2,F2,F2
42_2_SPRMO_027,0,0.99574,0,0.00037,0,0.00389,SMB,SMB,SMB
43_2_SPRMO_028,0.57534,0,0,0.02029,0.40436,0,NEO,,
44_2_SPRMO_030,0.98667,0,0,0.0003,0.01303,0,NEO,NEO,NEO
45_2_SPRMO_032,0.00053,0,0.00004,0.10537,0.89406,0,BCNEO,BCNEO,
46_2_SPRMO_033,0.99148,0,0,0.00018,0.00834,0,NEO,NEO,NEO
47_2_SPRMO_034,0.95068,0,0,0.00182,0.04749,0,NEO,NEO,NEO
48_2_SPRMO_035,0.81802,0,0,0.00896,0.17302,0,NEO,NEO,
49_2_SPRMO_036,0,0.93646,0,0.00778,0,0.05576,SMB,SMB,SMB
50_2_SPRMO_037,0,0.88366,0.00001,0.0211,0,0.09524,SMB,SMB,
51_2_SPRMO_039,0.00009,0,0,0.5885,0.41141,0,F2,,
52_2_SPRMO_040,0.78631,0,0,0.00569,0.20799,0,NEO,NEO,
54_2_SPRMO_042,0.91363,0,0,0.00333,0.08305,0,NEO,NEO,NEO
55_2_SPRMO_043,0.99107,0,0,0.00018,0.00876,0,NEO,NEO,NEO
56_2_SPRMO_044,0,0.99619,0,0.00044,0,0.00337,SMB,SMB,SMB
58_2_SPRMO_050,0.08347,0,0.01718,0.19571,0.70066,0.00298,BCNEO,,
59_3_SPRMO_001,0,0,0.11551,0.53009,0.25691,0.09749,F2,,
60_3_SPRMO_002,0.10504,0,0,0.1162,0.77876,0,BCNEO,BCNEO,
61_3_SPRMO_003,0.00006,0,0.00001,0.98722,0.00937,0.00333,F2,F2,F2
62_3_SPRMO_004,0.00018,0,0.04522,0.40081,0.53585,0.01794,BCNEO,,
63_3_SPRMO_005,0.95279,0,0,0.00356,0.04365,0,NEO,NEO,NEO
64_3_SPRMO_006,0,0.99138,0,0.00093,0,0.00769,SMB,SMB,SMB
65_3_SPRMO_007,0.00007,0,0.00003,0.11568,0.88422,0,BCNEO,BCNEO,
66_3_SPRMO_008,0,0.99862,0,0.00007,0,0.00131,SMB,SMB,SMB
67_3_SPRMO_009,0,0.99835,0,0.00009,0,0.00156,SMB,SMB,SMB
68_3_SPRMO_010,0.00001,0.00006,0.0015,0.90697,0.06696,0.0245,F2,F2,F2
69_3_SPRMO_011,0,0,0.00634,0.60304,0.00243,0.38819,F2,,
70_3_SPRMO_012,0.01075,0,0,0.37205,0.6172,0,BCNEO,,
71_3_SPRMO_013,0,0.36695,0.00002,0.43406,0.00013,0.19883,,,
72_3_SPRMO_014,0,0.00016,0.00079,0.57537,0.00091,0.42277,F2,,
73_3_SPRMO_015,0.85638,0,0,0.01291,0.13072,0,NEO,NEO,
74_3_SPRMO_016,0.33247,0,0,0.03304,0.63449,0,BCNEO,,
75_3_SPRMO_017,0.00002,0,0.00397,0.78768,0.19297,0.01537,F2,F2,
76_3_SPRMO_018,0.09588,0,0.00117,0.1546,0.74807,0.00028,BCNEO,,
77_3_SPRMO_019,0,0,0.01416,0.81931,0.04616,0.12037,F2,F2,
78_3_SPRMO_020,0,0,0.00535,0.69721,0.00796,0.28948,F2,,
79_3_SPRMO_021,0,0.97881,0,0.0034,0,0.01779,SMB,SMB,SMB
80_3_SPRMO_022,0,0.00001,0.00021,0.93098,0.00729,0.06152,F2,F2,F2
81_4_NOIS_001,0,0,0.1801,0.49147,0.10906,0.21937,,,
82_4_NOIS_002,0.07855,0,0,0.65134,0.27011,0,F2,,
83_4_NOIS_003,0.83755,0,0,0.01358,0.14886,0,NEO,NEO,
84_4_NOIS_004,0,0,0.24099,0.38936,0.20404,0.1656,,,
85_4_NOIS_005,0.44148,0,0.00006,0.06739,0.49106,0.00001,,,
86_4_NOIS_006,0.00905,0,0.00128,0.31902,0.66943,0.00122,BCNEO,,
87_4_NOIS_007,0.0039,0,0,0.08896,0.90714,0,BCNEO,BCNEO,BCNEO
88_4_NOIS_008,0.71581,0,0.00002,0.02143,0.26273,0,NEO,,
89_4_NOIS_009,0,0.00006,0.00475,0.64958,0.00393,0.34168,F2,,
90_4_NOIS_010,0.00476,0,0.00324,0.32219,0.6685,0.00132,BCNEO,,
91_4_NOIS_011,0.57213,0,0.00001,0.02294,0.40492,0,NEO,,
92_4_NOIS_012,0.56507,0,0,0.04378,0.39115,0,NEO,,
93_4_NOIS_013,0,0.57412,0.00065,0.11376,0.00026,0.31121,SMB,,
94_4_NOIS_014,0.26612,0,0.00001,0.33216,0.4017,0.00002,,,
95_4_NOIS_015,0.57078,0,0.00001,0.04862,0.38059,0,NEO,,
96_4_NOIS_016,0.70602,0,0.00023,0.05417,0.23949,0.0001,NEO,,
97_4_NOIS_017,0.89829,0,0,0.00554,0.09617,0,NEO,NEO,
98_4_NOIS_018,0.00085,0,0,0.06092,0.93822,0,BCNEO,BCNEO,BCNEO
100_4_NOIS_020,0.98316,0,0,0.00044,0.0164,0,NEO,NEO,NEO
101_4_NOIS_021,0.10854,0,0.00002,0.16649,0.72495,0.00001,BCNEO,,
102_4_NOIS_022,0,0,0.31787,0.32597,0.24803,0.10813,,,
103_4_NOIS_023,0.98774,0,0,0.00025,0.012,0,NEO,NEO,NEO
104_4_NOIS_024,0.00201,0,0.00002,0.96123,0.03517,0.00157,F2,F2,F2
105_4_NOIS_025,0.00031,0,0.02671,0.24775,0.71894,0.00629,BCNEO,,
106_4_NOIS_026,0.55213,0,0.00004,0.05753,0.39028,0.00002,NEO,,
107_4_NOIS_027,0.00761,0,0.00002,0.09702,0.89536,0,BCNEO,BCNEO,
108_4_NOIS_028,0,0,0.00063,0.88725,0.10888,0.00324,F2,F2,
109_4_NOIS_029,0,0.00002,0.25598,0.3977,0.1375,0.2088,,,
110_4_NOIS_030,0,0.00001,0.02473,0.64772,0.02586,0.30168,F2,,
111_4_NOIS_031,0.00008,0,0.00054,0.93522,0.05511,0.00906,F2,F2,F2
112_4_NOIS_032,0.15917,0,0.00105,0.09099,0.7486,0.00019,BCNEO,,
113_4_NOIS_033,0.00008,0,0.0831,0.23939,0.66897,0.00845,BCNEO,,
114_4_NOIS_035,0.00277,0,0,0.06189,0.93534,0,BCNEO,BCNEO,BCNEO
115_4_NOIS_036,0,0,0.00268,0.66543,0.32718,0.00471,F2,,
116_4_NOIS_037,0.00003,0,0,0.90862,0.09135,0,F2,F2,F2
117_4_NOIS_038,0.72367,0,0.00003,0.02052,0.25577,0,NEO,,
118_4_NOIS_039,0.89343,0,0,0.00369,0.10289,0,NEO,NEO,
119_4_NOIS_040,0.99428,0,0,0.00008,0.00565,0,NEO,NEO,NEO
