Msaf1,Msaf14,Msaf17,Msaf5,Mdo3,Msaf6,Msaf29,,,,,,,,,,StructID_noflag,SampType,Idnum
NeoRef33,3,125,125,175,183,106,108,127,129,117,123,106,108,120,162,NEOSMB,refNEO,
NeoRef34,3,125,161,171,173,102,116,125,129,117,117,108,108,120,120,NEOSMB,refNEO,
NeoRef35,3,125,125,171,175,102,112,129,159,117,117,108,122,120,184,NEOSMB,refNEO,
NeoRef36,3,125,127,173,173,112,112,125,129,117,117,108,108,162,170,NEOSMB,refNEO,
NeoRef37,3,127,153,171,173,100,102,125,129,117,117,106,106,192,194,NEOSMB,refNEO,
NeoRef38,3,125,161,173,173,102,102,125,157,117,117,106,110,160,194,NEOSMB,refNEO,
NeoRef39,3,125,129,173,175,108,116,129,131,117,117,108,108,120,168,NEOSMB,refNEO,
NeoRef40,3,125,135,173,173,106,110,129,131,117,119,108,108,158,162,NEOSMB,refNEO,
NeoRef41,3,125,171,173,173,102,112,129,131,117,117,106,108,120,188,NEOSMB,refNEO,
NeoRef42,3,125,125,173,175,104,106,125,129,117,117,108,112,166,178,NEOSMB,refNEO,
NeoRef43,3,127,135,173,173,102,112,129,129,117,117,108,108,176,196,NEOSMB,refNEO,
NeoRef44,3,135,167,173,209,102,102,125,143,117,117,108,112,166,194,NEOSMB,refNEO,
TnStrain1,2,121,153,183,225,106,106,143,145,123,129,108,108,122,144,TNSMB,refTNSMB,
TnStrain2,2,121,121,183,215,110,124,143,143,119,123,108,108,122,144,TNSMB,refTNSMB,
TnStrain3,2,121,153,199,225,106,108,143,147,119,123,108,118,122,126,TNSMB,refTNSMB,
TnStrain4,2,153,153,199,219,106,116,145,145,119,129,114,126,144,174,TNSMB,refTNSMB,
TnStrain5,2,129,153,183,215,106,134,133,133,117,117,108,108,126,150,TNSMB,refTNSMB,
TnStrain6,2,121,129,219,225,108,130,137,143,111,129,108,128,148,148,TNSMB,refTNSMB,
TnStrain7,2,121,121,199,199,120,124,131,143,117,117,108,166,148,152,TNSMB,refTNSMB,
TnStrain8,2,121,129,203,243,114,130,137,143,105,119,110,128,144,154,TNSMB,refTNSMB,
TnStrain9,2,153,153,199,203,108,126,137,143,105,119,120,178,126,174,TNSMB,refTNSMB,
TnStrain10,2,-9,-9,199,225,112,126,143,149,117,129,108,108,122,144,TNSMB,refTNSMB,
TnStrain11,2,129,153,199,221,106,110,137,143,119,123,108,126,148,148,TNSMB,refTNSMB,
TnStrain12,2,121,153,215,219,108,116,133,137,117,117,108,128,126,156,TNSMB,refTNSMB,
