Samp,Newhyb Run1?,1_P1_ALB,1_P2_SHB,1_F1,1_F2,1_BCALB,1_BCSHB,Newhybs1_assign,Newhyb Run2?,2_P1_ALB,2_P2_CHB,2_F1,2_F2,2_BCALB,2_BCCHB,Newhybs2_assign,Newhyb Run3?,3_P1_SHB,3_P2_REB,3_F1,3_F2,3_BCSHB,3_BCREB,Newhybs3_assign,No Newhyb?,Final_NH_assign
001_01_ALB,1,0.99922,0,0,0.00001,0.00077,0,ALB,2,0.99957,0,0,0.00002,0.00042,0,ALB,,,,,,,,,,ALB
002_01_ALB,1,0.9999,0,0,0,0.0001,0,ALB,2,0.99978,0,0,0,0.00021,0,ALB,,,,,,,,,,ALB
003_01_ALB,1,0.99955,0,0,0.00001,0.00045,0,ALB,2,0.99953,0,0,0.00001,0.00046,0,ALB,,,,,,,,,,ALB
004_01_ALB,1,0.99986,0,0,0,0.00014,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
005_01_ALB,1,0.99998,0,0,0,0.00002,0,ALB,2,0.99995,0,0,0,0.00005,0,ALB,,,,,,,,,,ALB
006_01_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99992,0,0,0,0.00008,0,ALB,,,,,,,,,,ALB
007_01_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99989,0,0,0,0.00011,0,ALB,,,,,,,,,,ALB
008_01_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99995,0,0,0,0.00005,0,ALB,,,,,,,,,,ALB
009_01_ALB,1,0.99995,0,0,0,0.00005,0,ALB,2,0.99973,0,0,0,0.00027,0,ALB,,,,,,,,,,ALB
010_01_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99992,0,0,0,0.00008,0,ALB,,,,,,,,,,ALB
011_01_ALB,1,0.99994,0,0,0,0.00006,0,ALB,2,0.99996,0,0,0,0.00004,0,ALB,,,,,,,,,,ALB
012_01_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99984,0,0,0,0.00016,0,ALB,,,,,,,,,,ALB
013_01_ALB,1,0.98804,0,0,0.00022,0.01174,0,ALB,2,0.99706,0,0.00001,0.00016,0.00277,0,ALB,,,,,,,,,,ALB
014_01_ALB,1,0.99691,0,0,0.00005,0.00304,0,ALB,2,0.99963,0,0,0.00001,0.00036,0,ALB,,,,,,,,,,ALB
015_01_ALB,1,0.99986,0,0,0,0.00013,0,ALB,2,0.9999,0,0,0,0.0001,0,ALB,,,,,,,,,,ALB
016_01_ALB,1,0.99994,0,0,0,0.00006,0,ALB,2,0.99899,0,0,0.00011,0.0009,0,ALB,,,,,,,,,,ALB
017_01_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99997,0,0,0,0.00003,0,ALB,,,,,,,,,,ALB
018_01_HYB,1,0.99993,0,0,0,0.00007,0,ALB,2,0.99982,0,0,0,0.00017,0,ALB,,,,,,,,,,ALB
019_01_SHB,1,0,0.99994,0,0,0,0.00006,SHB,,,,,,,,,3,0.99989,0,0,0,0.00011,0,SHB,,SHB
020_01_SHB,1,0,0.99993,0,0,0,0.00007,SHB,,,,,,,,,3,0.99908,0,0,0.00002,0.00089,0,SHB,,SHB
021_02_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99996,0,0,0,0.00004,0,ALB,,,,,,,,,,ALB
022_02_ALB,1,0.99998,0,0,0,0.00002,0,ALB,2,0.99991,0,0,0,0.00009,0,ALB,,,,,,,,,,ALB
023_02_ALB,1,0.99997,0,0,0,0.00003,0,ALB,2,0.99996,0,0,0,0.00004,0,ALB,,,,,,,,,,ALB
024_02_ALB,1,0.99973,0,0,0,0.00027,0,ALB,2,0.99877,0,0,0.00006,0.00117,0,ALB,,,,,,,,,,ALB
025_02_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99994,0,0,0,0.00006,0,ALB,,,,,,,,,,ALB
026_02_ALB,1,0.99982,0,0,0,0.00018,0,ALB,2,0.99977,0,0,0,0.00022,0,ALB,,,,,,,,,,ALB
027_02_ALB,1,0.99996,0,0,0,0.00004,0,ALB,2,0.99909,0,0,0.00003,0.00088,0,ALB,,,,,,,,,,ALB
028_02_ALB,1,0.9999,0,0,0,0.0001,0,ALB,2,0.99984,0,0,0,0.00016,0,ALB,,,,,,,,,,ALB
029_02_ALB,1,0.99985,0,0,0,0.00015,0,ALB,2,0.99993,0,0,0,0.00007,0,ALB,,,,,,,,,,ALB
