Samp,StructID_noflag,SampType,Idnum,Pop,in_het_introgress,h_introgress,h_lower,h_upper,class_nh_50,SPB_stru,SMB_stru,NEO_stru
NeoRef33,NEOSMB,refNEO,,,,,,,,,,
NeoRef34,NEOSMB,refNEO,,,,,,,,,,
NeoRef35,NEOSMB,refNEO,,,,,,,,,,
NeoRef36,NEOSMB,refNEO,,,,,,,,,,
NeoRef37,NEOSMB,refNEO,,,,,,,,,,
NeoRef38,NEOSMB,refNEO,,,,,,,,,,
NeoRef39,NEOSMB,refNEO,,,,,,,,,,
NeoRef40,NEOSMB,refNEO,,,,,,,,,,
NeoRef41,NEOSMB,refNEO,,,,,,,,,,
NeoRef42,NEOSMB,refNEO,,,,,,,,,,
NeoRef43,NEOSMB,refNEO,,,,,,,,,,
NeoRef44,NEOSMB,refNEO,,,,,,,,,,
TnStrain1,TNSMB,refTNSMB,,,,,,,,,,
TnStrain2,TNSMB,refTNSMB,,,,,,,,,,
TnStrain3,TNSMB,refTNSMB,,,,,,,,,,
TnStrain4,TNSMB,refTNSMB,,,,,,,,,,
TnStrain5,TNSMB,refTNSMB,,,,,,,,,,
TnStrain6,TNSMB,refTNSMB,,,,,,,,,,
TnStrain7,TNSMB,refTNSMB,,,,,,,,,,
TnStrain8,TNSMB,refTNSMB,,,,,,,,,,
TnStrain9,TNSMB,refTNSMB,,,,,,,,,,
TnStrain10,TNSMB,refTNSMB,,,,,,,,,,
TnStrain11,TNSMB,refTNSMB,,,,,,,,,,
TnStrain12,TNSMB,refTNSMB,,,,,,,,,,
TnStrain13,TNSMB,refTNSMB,,,,,,,,,,
TnStrain14,TNSMB,refTNSMB,,,,,,,,,,
TnStrain15,TNSMB,refTNSMB,,,,,,,,,,
TnStrain16,TNSMB,refTNSMB,,,,,,,,,,
TnStrain17,TNSMB,refTNSMB,,,,,,,,,,
TnStrain18,TNSMB,refTNSMB,,,,,,,,,,
TnStrain19,TNSMB,refTNSMB,,,,,,,,,,
TnStrain20,TNSMB,refTNSMB,,,,,,,,,,
TnStrain21,TNSMB,refTNSMB,,,,,,,,,,
TnStrain22,TNSMB,refTNSMB,,,,,,,,,,
TnStrain23,TNSMB,refTNSMB,,,,,,,,,,
TnStrain24,TNSMB,refTNSMB,,,,,,,,,,
TnStrain25,TNSMB,refTNSMB,,,,,,,,,,
TnStrain26,TNSMB,refTNSMB,,,,,,,,,,
TnStrain27,TNSMB,refTNSMB,,,,,,,,,,
TnStrain28,TNSMB,refTNSMB,,,,,,,,,,
TnStrain29,TNSMB,refTNSMB,,,,,,,,,,
TnStrain30,TNSMB,refTNSMB,,,,,,,,,,
TnStrain31,TNSMB,refTNSMB,,,,,,,,,,
TnStrain32,TNSMB,refTNSMB,,,,,,,,,,
1_1_TNKR-01,TNSMB,wildpop,75,1,0.166666667,1,0.6233315,1,SMB,0.004,0.989,0.007
2_1_TNKR-02,TNSMB,wildpop,76,1,0.2,0.9842896,0.532748,1,SMB,0.0092,0.9848,0.006
3_1_TNKR-03,TNSMB,wildpop,77,1,0.5,0.8678928,0.5508046,0.9922367,SMB,0.006,0.983,0.011
4_1_TNKR-04,TNSMB,wildpop,78,1,0.666666667,0.7854591,0.4247088,0.9831241,SMB,0.0048,0.9832,0.012
5_1_TNKR-05,TNSMB,wildpop,79,1,0.285714286,0.8419068,0.5788597,0.9731707,BCSMB,0.0041,0.9559,0.04
6_1_TNKR-06,TNSMB,wildpop,80,1,0.166666667,1,0.8092689,1,SMB,0.005,0.991,0.004
7_1_TNKR-07,TNSMB,wildpop,81,1,0.285714286,0.8310506,0.5083481,0.9884911,SMB,0.005,0.972,0.023
8_1_TNKR-08,TNSMB,wildpop,82,1,0,1,0.7695438,1,SMB,0.0328,0.9622,0.005
9_1_TNKR-09,TNSMB,wildpop,83,1,0.333333333,1,0.7753555,1,SMB,0.005,0.99,0.005
10_1_TNKR-10,TNSMB,wildpop,84,1,0.166666667,1,0.7539475,1,SMB,0.0044,0.9866,0.009
11_1_TNKR-11,TNSMB,wildpop,85,1,0,1,0.7941003,1,SMB,0.0036,0.9914,0.005
